"Name";"Ingredients";"Energy_kcal";"Fat_g";"Carbohydrates_g";"Fiber_g";"Protein_g"
"nalesniki-ze-szpinakiem-i-serem-saint-felicien";c("jajko", "mleko", "mąka pszenna", "sól", "oliwa z oliwek", "szpinak świeży", "masło", "gałka muszkatołowa", "sól", "pieprz czarny", "ser saint");"442,7";"21,3";"43,2";"0";"18"
"klopsiki-wolowo-wieprzowe-w-stylu-szwedzkim";c("mięso mielone wołowe", "mięso mielone wieprzowe", "cebula", "ząbek czosnku", "żurawina suszona", "cytryna", "bułka tarta", "sól", "pieprz czarny", "olej słonecznikowy", "cebula", "ząbek czosnku", "bulion wołowy", "śmietana 30%", "musztarda dijon", "mąka pszenna", "natka pietruszki", "kapar", "sól", "seler", "ziemniak", "mleko", "śmietana", "masło", "sól", "pieprz biały", "cytryna", "natka pietruszki");"675,1";"41,9";"43,3";"6,7";"33,7"
"racuchy-na-maslance";c("jabłko", "sok z cytryny", "mąka pszenna", "soda oczyszczona", "cukier puder", "sól", "maślanka", "jajko", "olej", "cukier puder");"437,5";"14,1";"63,4";"2";"11,4"
"gnocchi-z-kurczakiem-i-warzywami";c("gnocchi", "cebula", "czosnek główka", "oliwa z oliwek", "pierś z kurczaka", "warzywa, mrożone", "szpinak świeży", "koncentrat pomidorowy", "bulion", "piramidka smaku do rosołu", "śmietanka kremówka 30%", "zioła włoskie", "mąka ziemniaczana", "woda", "parmezan tarty", "sól", "pieprz czarny", "natka pietruszki", "parmezan tarty");"467,9";"26,6";"32,8";"4,7";"22,1"
"obiad-jednoblaszkowy-z-tofu";c("tofu, wędzone", "sos sojowy", "syrop klonowy", "oliwa z oliwek", "papryka wędzona mielona", "chili mielone", "przecier pomidorowy", "ząbek czosnku", "bulion warzywny", "śliwka suszona", "ocet jabłkowy", "syrop klonowy", "sos sriracha", "sos sojowy", "sól", "pieprz czarny", "brukselka", "batat", "ziemniak", "jabłko", "jarmuż", "rozmaryn suszony", "parmezan tarty", "sól", "orzech pekan", "natka pietruszki");"787,4";"23,4";"119,5";"20,4";"29,3"
"makaronowa-frittata-z-warzywami";c("makaron spaghetti", "jajko", "grana padano, tarty", "szalotka", "ząbek czosnku", "brokuł", "papryka czerwona", "natka pietruszki", "groszek z marchewką, mrożony", "masło", "oliwa z oliwek", "bazylia świeża");"534,5";"18,5";"67,7";"3,4";"23,8"
"weganski-lunchbox-do-pracy";c("batat", "korzeń pietruszki", "burak", "oliwa z oliwek", "sól", "papryka wędzona mielona", "komosa ryżowa (quinoa)", "fasola czerwona z puszki", "szalotka", "ząbek czosnku", "siemię lniane, mielone", "nasiona słonecznika", "natka pietruszki", "kolendra świeża", "sól", "chili mielone", "kumin", "czosnek główka", "oliwa z oliwek", "orzech nerkowca", "aquafaba", "musztarda dijon", "sok z cytryny", "sól");"1829,8";"90,7";"211,4";"37,1";"60,7"
"smazone-pierogi-z-twarogiem-ziemniakami-i-kapusta";c("kapusta biała", "cebula", "olej", "sól", "pieprz czarny", "majeranek suszony", "ziemniak", "twaróg z czosnkiem i koprem", "mąka pszenna", "żółtka jaj", "śmietana kwaśna", "sól", "ocet", "olej słonecznikowy", "śmietana kwaśna");"625,3";"20,1";"85,8";"1,7";"24,9"
"makaron-chow-mein-z-woka";c("sos do woka z curry", "polędwica wołowa", "sos sojowy", "ząbek czosnku", "olej słonecznikowy", "imbir świeży", "cukier trzcinowy", "sok z cytryny", "papryczka chili czerwona", "makaron chow mein", "warzywa chińskie, mrożone", "sezam biały");"365,2";"12,6";"40";"2,5";"17,7"
"losos-w-kremowym-sosie-czosnkowym";c("oliwa z oliwek", "łosoś atlantycki, filet ze skórą", "sól", "pieprz czarny", "masło", "ząbek czosnku", "bulion drobiowy", "śmietanka kremówka 30%", "parmezan", "natka pietruszki", "cytryna");"636,1";"50,4";"9,3";"1,3";"38,1"
